x0,x1,y
0.92,-0.86,-1.00
0.53,0.25,-1.00
0.14,-0.60,-1.00
-0.31,-0.44,-1.00
-0.95,-0.38,1.00
-0.52,0.05,-1.00
0.21,-0.28,-1.00
0.11,-0.85,1.00
0.87,0.95,-1.00
0.86,0.13,-1.00
-0.78,0.44,-1.00
0.14,0.79,-1.00
-0.64,-0.67,1.00
-0.32,-0.96,1.00
0.17,-0.32,-1.00
0.07,-0.92,1.00
-0.87,0.51,-1.00
-0.28,-0.46,-1.00
-0.20,-1.00,1.00
-0.70,-0.63,1.00
0.35,0.99,-1.00
-0.57,-0.58,1.00
-0.38,0.12,-1.00
-0.85,0.09,-1.00
-0.24,0.15,-1.00
-0.77,0.79,-1.00
0.55,0.53,-1.00
-0.02,0.08,-1.00
-0.25,0.41,-1.00
0.82,0.49,-1.00
-0.45,0.96,-1.00
-0.72,-0.57,1.00
-0.50,-0.46,1.00
-0.61,0.55,-1.00
-0.50,0.79,-1.00
0.72,-0.44,-1.00
0.02,-0.98,1.00
0.09,0.82,-1.00
0.15,-0.27,-1.00
-0.52,0.21,-1.00
0.34,0.87,-1.00
-0.30,-0.53,1.00
0.09,0.86,-1.00
-0.66,-0.30,1.00
0.53,0.31,-1.00
-0.90,-0.03,-1.00
0.70,-0.17,-1.00
-0.11,-0.25,-1.00
-0.93,-0.61,1.00
-0.32,0.65,-1.00
0.21,-0.31,-1.00
0.98,0.67,-1.00
0.00,-0.05,-1.00
0.76,0.63,-1.00
0.38,0.65,-1.00
-0.62,-0.20,-1.00
0.84,-0.30,-1.00
-0.65,0.50,-1.00
0.55,-0.29,-1.00
0.34,-1.00,1.00
0.63,-0.69,-1.00
0.69,0.71,-1.00
-0.47,-0.69,1.00
0.73,0.44,-1.00
0.05,-0.18,-1.00
-0.10,0.61,-1.00
0.59,-0.15,-1.00
-0.44,0.63,-1.00
-0.19,-0.31,-1.00
0.80,0.60,-1.00
0.59,0.71,-1.00
0.98,0.22,-1.00
0.42,0.72,-1.00
0.67,0.10,-1.00
-0.61,0.06,-1.00
0.47,0.49,-1.00
0.92,0.80,-1.00
-0.42,0.62,-1.00
0.88,-0.76,-1.00
0.48,0.17,-1.00
0.30,-0.32,-1.00
-0.88,-0.45,1.00
-0.94,-0.84,1.00
-0.43,-0.20,-1.00
-0.34,-0.88,1.00
-0.84,0.58,-1.00
-0.07,-0.96,1.00
0.19,0.59,-1.00
-0.43,-0.44,1.00
0.68,0.23,-1.00
0.75,-0.42,-1.00
-0.46,0.45,-1.00
-0.87,-0.30,1.00
-0.65,-0.36,1.00
0.77,0.93,-1.00
-0.53,-0.26,-1.00
0.89,0.35,-1.00
0.17,-0.11,-1.00
0.37,0.66,-1.00
-0.59,0.97,-1.00
